(nanoGPT) C:\Users\kanoj\OneDrive\Desktop\Assignments\Deliverable2\nanoGPT>python train.py config/train_pokemon.py
Overriding config with config/train_pokemon.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-[pokemon]'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'pokemon'
wandb_run_name = 'mini-gpt'

dataset = 'pokemon'
gradient_accumulation_steps = 1
batch_size = 12
block_size = 64 # context of up to 64 previous characters

# baby GPT model :)
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.0

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 4000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model

tokens per iteration will be: 768
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 7.23M
C:\Users\kanoj\OneDrive\Desktop\Assignments\Deliverable2\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 7,233,536 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 10.8327, val loss 10.8260
iter 0: loss 10.8083, time 2460.45ms, mfu -100.00%
iter 10: loss 10.4380, time 156.03ms, mfu 0.07%
iter 20: loss 10.0965, time 154.08ms, mfu 0.07%
iter 30: loss 9.6197, time 136.81ms, mfu 0.07%
iter 40: loss 8.9280, time 156.01ms, mfu 0.07%
iter 50: loss 8.0901, time 155.77ms, mfu 0.07%
iter 60: loss 7.4631, time 153.99ms, mfu 0.07%
iter 70: loss 6.6240, time 139.71ms, mfu 0.07%
iter 80: loss 6.0593, time 140.96ms, mfu 0.07%
iter 90: loss 5.6639, time 141.41ms, mfu 0.07%
iter 100: loss 5.3669, time 141.70ms, mfu 0.07%
iter 110: loss 5.1170, time 141.47ms, mfu 0.07%
iter 120: loss 5.1113, time 139.91ms, mfu 0.07%
iter 130: loss 5.1807, time 156.23ms, mfu 0.07%
iter 140: loss 4.6780, time 154.92ms, mfu 0.07%
iter 150: loss 4.6034, time 142.43ms, mfu 0.07%
iter 160: loss 4.5495, time 144.45ms, mfu 0.07%
iter 170: loss 4.4613, time 152.60ms, mfu 0.07%
iter 180: loss 4.6218, time 153.80ms, mfu 0.07%
iter 190: loss 4.4914, time 150.77ms, mfu 0.07%
iter 200: loss 4.3784, time 139.70ms, mfu 0.07%
iter 210: loss 4.0294, time 138.21ms, mfu 0.07%
iter 220: loss 3.9490, time 140.39ms, mfu 0.07%
iter 230: loss 3.9954, time 154.10ms, mfu 0.07%
iter 240: loss 3.8563, time 155.46ms, mfu 0.07%
step 250: train loss 3.8367, val loss 5.1172
saving checkpoint to out-[pokemon]
iter 250: loss 4.0162, time 2646.85ms, mfu 0.07%
iter 260: loss 3.7155, time 155.25ms, mfu 0.07%
iter 270: loss 3.6651, time 141.16ms, mfu 0.07%
iter 280: loss 3.7501, time 152.35ms, mfu 0.07%
iter 290: loss 3.7134, time 153.57ms, mfu 0.07%
iter 300: loss 3.6210, time 154.91ms, mfu 0.07%
iter 310: loss 3.6683, time 140.45ms, mfu 0.07%
iter 320: loss 3.5413, time 138.33ms, mfu 0.07%
iter 330: loss 3.5773, time 152.17ms, mfu 0.07%
iter 340: loss 3.7310, time 153.59ms, mfu 0.07%
iter 350: loss 3.6351, time 155.43ms, mfu 0.07%
iter 360: loss 3.3192, time 140.07ms, mfu 0.07%
iter 370: loss 3.4713, time 137.97ms, mfu 0.07%
iter 380: loss 3.4113, time 139.50ms, mfu 0.07%
