Iteration 89, Loss: 2.654646635055542
step 90: train loss 2.6404, val loss 2.6288
Iteration 90, Loss: 2.6566927433013916
Iteration 91, Loss: 2.6304211616516113
Iteration 92, Loss: 2.6521012783050537
Iteration 93, Loss: 2.609128952026367
Iteration 94, Loss: 2.603804588317871
Iteration 95, Loss: 2.6428170204162598
Iteration 96, Loss: 2.6246564388275146
Iteration 97, Loss: 2.64015531539917
Iteration 98, Loss: 2.6308753490448
Iteration 99, Loss: 2.599088430404663
step 100: train loss 2.6121, val loss 2.6013
Iteration 100, Loss: 2.621574640274048
Iteration 101, Loss: 2.61922550201416
Iteration 102, Loss: 2.6360316276550293
Iteration 103, Loss: 2.636021137237549
Iteration 104, Loss: 2.67171573638916
Iteration 105, Loss: 2.5931694507598877
Iteration 106, Loss: 2.614870071411133
Iteration 107, Loss: 2.646005392074585
Iteration 108, Loss: 2.5936923027038574
Iteration 109, Loss: 2.6194229125976562
step 110: train loss 2.5865, val loss 2.5747
Iteration 110, Loss: 2.5735361576080322
Iteration 111, Loss: 2.634819269180298
Iteration 112, Loss: 2.6499626636505127
Iteration 113, Loss: 2.5908563137054443
Iteration 114, Loss: 2.573129415512085
Iteration 115, Loss: 2.574366569519043
Iteration 116, Loss: 2.606097936630249
Iteration 117, Loss: 2.611736297607422
Iteration 118, Loss: 2.630636215209961
Iteration 119, Loss: 2.542663097381592
step 120: train loss 2.5625, val loss 2.5551
Iteration 120, Loss: 2.5872976779937744
Iteration 121, Loss: 2.6298635005950928
Iteration 122, Loss: 2.6184520721435547
Iteration 123, Loss: 2.565406322479248
Iteration 124, Loss: 2.588718891143799
Iteration 125, Loss: 2.5486528873443604
Iteration 126, Loss: 2.595733642578125
Iteration 127, Loss: 2.5867061614990234
Iteration 128, Loss: 2.5703771114349365
Iteration 129, Loss: 2.576970338821411
step 130: train loss 2.5484, val loss 2.5416
Iteration 130, Loss: 2.545405387878418
Iteration 131, Loss: 2.607515335083008
Iteration 132, Loss: 2.572659730911255
Iteration 133, Loss: 2.579669237136841
Iteration 134, Loss: 2.5608811378479004
Iteration 135, Loss: 2.5908970832824707
Iteration 136, Loss: 2.5573887825012207
Iteration 137, Loss: 2.557216167449951
Iteration 138, Loss: 2.5604100227355957
Iteration 139, Loss: 2.54363751411438
step 140: train loss 2.5405, val loss 2.5259
Iteration 140, Loss: 2.5723795890808105
Iteration 141, Loss: 2.5449304580688477
Iteration 142, Loss: 2.523836851119995
Iteration 143, Loss: 2.5389952659606934
Iteration 144, Loss: 2.5417239665985107
Iteration 145, Loss: 2.550865888595581
Iteration 146, Loss: 2.5587430000305176
Iteration 147, Loss: 2.5396127700805664
Iteration 148, Loss: 2.5598154067993164
Iteration 149, Loss: 2.5355918407440186
